Ticker,Shares,Class
VTI,286.72109,core_equity
VXUS,821.29764,core_equity
SOXQ,844.23585,ai_tech_growth
CHAT,892.41565,ai_tech_growth
QQQM,115.83453,ai_tech_growth
BOTZ,436.32757,ai_tech_growth
DTCR,1791.00000,ai_tech_growth
GRID,170.00000,ai_tech_growth
IAUM,990.38886,real_assets
SIVR,377.64679,real_assets
URNM,288.06707,real_assets
REMX,246.74429,real_assets
ITA,210.40519,defense_energy
XLE,732.67720,defense_energy
XBI,318.91797,biotech
DBMF,1138.00000,overlay_diversifier
KMLM,1311.00000,overlay_diversifier
TREASURY_Note,1.00000,bucket_a
CASH,25500.60,bucket_b
