Ticker,CurrentUSD,CurrentWeight,TargetWeight,mom_raw,mom_risk_adj,vol_ewma,corr_vti,tr_12m,slope_6m,resid_3m,TargetUSD,TradeUSD_base,TradeUSD_exec,TradeUSD
CHAT,61303.5392011,0.07791110252364888,0.014482555395034014,0.5076923076923077,2.01220522330915,0.2523064257120791,0.7902656372540376,0.3942481884057971,0.0011944331341950947,-0.07869023334496084,11395.447806967952,-49908.09139413205,-49908.09139413205,-49908.09139413205
SIVR,53159.2775658,0.06756050268037112,0.03,1.0,1.9850628948831464,0.5037623757804744,0.13817998155841396,2.365769496204279,0.006973718379125239,1.0641799494394664,23605.187405412,-29554.090160388,-29554.090160388,-29554.090160388
XLE,20496.7317067,0.026049441618075035,0.0,0.2153846153846154,1.1638974008186134,0.18505464075538547,0.23248758733848765,0.06702819956616035,0.0006179067071893172,0.09806149090018534,0.0,-20496.7317067,-20496.7317067,-20496.7317067
BOTZ,14516.0523189,0.01844855378979776,0.0,0.26153846153846155,1.3136401484571778,0.19909444899779358,0.8115013245791763,0.0938314509122502,0.0009067932397139176,-0.02964155050418693,0.0,-14516.0523189,-14516.0523189,-14516.0523189
VTI,93559.0144104,0.11890481461157505,0.1,0.21923076923076923,2.0448224165519853,0.10721262025307797,1.0,0.12701039115758817,0.0007096983325762679,0.0,78683.95801804001,-14875.056392359998,-4850.676392359979,-4850.676392359979
QQQM,34827.973492,0.044263118390682546,0.042491277706806,0.2923076923076923,2.0529067839926247,0.1423872211767909,0.9363864133626322,0.16912133509643867,0.0008219035812865042,-0.016054936312177137,33433.81911215202,-1394.154379847976,-1394.154379847976,-1394.154379847976
TREASURY_NOTE,45000.0,0.05719081898457977,0.05719081898457977,,,,,,,,45000.0,0.0,0.0,0.0
REMX,22744.26,0.028905841257738183,0.028905841257738183,,,,,,,,22744.26,0.0,0.0,0.0
URNM,22557.15,0.028668041832400303,0.028668041832400303,,,,,,,,22557.15,0.0,0.0,0.0
IBIT,4338.807135000001,0.005514220743706405,0.005514220743706405,,,,,,,,4338.807135000001,0.0,0.0,0.0
DBMF,36347.68,0.04619452416420956,0.04619452416420956,,,,,,,,36347.68,0.0,0.0,0.0
KMLM,35374.08,0.04495716902280097,0.04495716902280097,,,,,,,,35374.08,0.0,0.0,0.0
CASH,10024.38,0.012740055600280928,0.012740055600280928,,,,,,,,10024.38,0.0,0.0,0.0
QTUM,14836.25,0.018855495292443816,0.018855495292443816,,,,,,,,14836.250000000002,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
GRID,14553.630000000001,0.018496311531078884,0.02,0.3307692307692308,2.339577910597836,0.14137987423753237,0.8065441453580113,0.25909305621162027,0.0008076457659640696,0.0010099334949289496,15736.791603608,1183.1616036079995,1183.1616036079995,1183.1616036079995
DTCR,37468.86,0.04761943977374582,0.06,0.5769230769230769,2.85241848898616,0.20225751556116633,0.7007866111234177,0.3776749566223252,0.001557206167151997,0.04222016493362468,47210.374810824,9741.514810824003,9741.514810824003,9741.514810824003
IAUM,51603.96404019999,0.06558384369577426,0.08,0.8961538461538462,4.317714357110451,0.2075528328264819,0.08545415781368944,0.8077903167091371,0.0028399935323630237,0.20384609425034284,62947.166414432,11343.202374232009,11343.202374232009,11343.202374232009
SOXQ,65889.97918200001,0.08374004160656649,0.1,0.7538461538461538,2.551424010808867,0.2954609467703352,0.7874854698291074,0.46126924871675223,0.0027077304478562445,0.096244498137245,78683.95801804001,12793.978836039998,12793.978836039998,12793.978836039998
ITA,62391.8398191,0.07929423149353432,0.1,0.6923076923076923,3.6577136228237874,0.18927334496275425,0.612551958799193,0.48309148264984225,0.0011924257332989131,0.056304701607611474,78683.95801804001,16292.118198940007,16292.118198940007,16292.118198940007
XBI,29833.32,0.03791537786286763,0.06,0.8038461538461539,3.5700898729024955,0.225161321553125,0.37582201436297574,0.4037934437013486,0.0035762556504790022,0.16358629489041454,47210.374810824,17377.054810824004,17377.054810824004,17377.054810824004
VXUS,56012.7913092,0.07118705352412223,0.15,0.45,4.404536516045276,0.102167389999083,0.7675669924858971,0.3084896347482724,0.0008256718659136926,0.042897206593892845,118025.93702706,62013.14571786,62013.14571786,62013.14571786
