Date,BOTZ,CHAT,COPX,DBMF,DTCR,GRID,IAUM,IBIT,ITA,KMLM,QQQ,REMX,SIVR,SOXQ,SPY,URNM,VTI,VXUS,XBI,XLE
2019-01-02,16.5605,,17.053,,,37.6028,,,83.3328,,148.595,38.0,15.08,,226.929,,120.139,41.8916,72.684,21.2533
2019-01-03,16.1185,,16.5572,,,36.9803,,,80.8287,,143.745,37.89,15.28,,221.503,,117.371,41.4196,71.037,21.0434
2019-01-04,16.6303,,17.4275,,,38.1836,,,83.4689,,149.88,39.359,15.25,,228.938,,121.259,42.7705,74.839,21.7587
2019-01-07,16.9056,,17.5664,,,38.5156,,,84.1672,,151.704,40.19,15.2,,230.757,,122.459,42.9024,79.308,22.0826
2019-01-08,17.1321,,17.6534,,,39.0221,,,85.5449,,153.066,40.83,15.21,,232.902,,123.748,43.2153,80.286,22.2537
2019-01-09,17.3775,,17.9527,,,39.9022,,,85.9889,,154.302,41.357,15.3,,234.012,,124.314,43.794,80.625,22.6069
2019-01-10,17.3775,,18.0192,,,39.9082,,,87.1272,,154.741,40.803,15.12,,234.835,,124.948,43.9329,81.961,22.6709
2019-01-11,17.2099,,17.9527,,,39.8834,,,87.2942,,154.174,41.107,15.15,,234.931,,124.978,43.6502,81.801,22.5369
2019-01-14,17.1032,,17.8774,,,39.8617,,,87.2544,,152.82,40.627,15.21,,233.485,,124.156,43.4647,79.927,22.4822
2019-01-15,17.4852,,17.8402,,,39.6753,,,87.4402,,155.82,40.803,15.12,,236.155,,125.544,43.7396,82.001,22.5636
2019-01-16,17.6339,,18.0563,,,40.0024,,,87.2594,,155.792,40.357,15.15,,236.73,,125.871,43.9174,81.711,22.5337
2019-01-17,17.7237,,18.3556,,,39.9687,,,88.5994,,157.008,40.69,15.1,,238.53,,126.903,44.1116,82.201,22.7402
2019-01-18,18.1167,,18.4416,,,40.8667,,,89.9592,,158.547,40.859,14.88,,241.706,,128.549,44.468,83.178,23.2015
2019-01-22,17.5152,,17.6906,,,40.161,,,87.8385,,155.389,39.359,14.91,,238.443,,126.783,43.794,80.665,22.6966
2019-01-23,17.5152,,17.7473,,,39.9379,,,88.957,,155.595,39.277,14.94,,238.931,,126.923,44.0581,79.588,22.4645
2019-01-24,17.8125,,17.7385,,,40.72,,,89.7586,,156.585,39.055,14.88,,239.065,,127.18,44.2183,80.356,22.5835
2019-01-25,18.2245,,18.337,,,41.6051,,,90.5672,,158.448,39.996,15.27,,241.103,,128.371,44.7087,82.171,22.871
2019-01-28,17.9102,,18.2245,,,41.4535,,,90.4639,,156.507,39.694,15.31,,239.266,,127.448,44.468,79.837,22.6421
2019-01-29,17.6538,,18.3839,,,41.5277,,,92.2032,,155.028,39.443,15.4,,238.931,,127.259,44.5573,79.877,22.7113
2019-01-30,17.998,,18.8621,,,41.9401,,,93.4846,,158.957,40.275,15.61,,242.711,,129.164,45.0884,82.091,23.0309
2019-01-31,18.1756,,19.1995,,,42.5229,,,93.3951,,161.359,40.523,15.59,,244.838,,130.314,45.1895,83.398,23.1807
2019-02-01,18.2245,,19.0587,,,42.3802,,,93.5382,,160.674,40.497,15.46,,244.96,,130.513,45.1176,83.788,23.5843
2019-02-04,18.3931,,19.0871,,,42.4575,,,95.4871,,162.672,40.69,15.42,,246.703,,131.425,45.2671,84.136,23.6381
2019-02-05,18.5886,,19.1897,,,42.6736,,,96.5072,,164.104,41.024,15.41,,247.73,,131.98,45.6692,83.598,23.6743
2019-02-06,18.6285,,19.2924,,,43.0373,,,96.6016,,163.614,40.884,15.22,,247.402,,131.852,45.3487,84.076,23.5007
2019-02-07,18.4031,,19.001,,,42.1522,,,96.1288,,161.426,40.024,15.3,,245.038,,130.612,44.7524,81.791,22.9807
2019-02-08,18.2245,,18.8621,,,41.9084,,,96.4099,,161.751,39.497,15.37,,245.333,,130.741,44.5825,82.48,22.8746
2019-02-11,18.2933,,18.5991,,,41.959,,,96.8013,,161.595,40.08,15.25,,245.479,,131.009,44.4942,82.879,22.9837
2019-02-12,18.9348,,18.6842,,,42.4158,,,97.9476,,163.978,40.94,15.27,,248.636,,132.636,44.9651,84.216,23.2743
2019-02-13,19.0725,,18.8621,,,42.7033,,,98.0558,,164.084,40.497,15.12,,249.45,,133.052,44.9029,84.226,23.5647
2019-02-14,19.0126,,18.9746,,,43.065,,,97.9376,,164.278,40.58,15.19,,248.893,,132.824,44.9214,84.576,23.6492
2019-02-15,19.3278,,19.2465,,,43.3773,,,99.9874,,164.966,41.304,15.35,,251.603,,134.262,45.3749,86.381,24.0299
2019-02-19,19.3668,,19.8743,,,43.5518,,,99.9187,,165.282,41.772,15.53,,252.033,,134.54,45.6139,85.433,24.1035
2019-02-20,19.5044,,20.4923,,,43.6865,,,100.415,,165.252,42.55,15.58,,252.57,,134.817,45.8284,85.095,24.2057
